Class,Class Number,Class Section,Class Section-B,Class Time,Class Room,Class Instructor,Rating
AAS 2170,57189,CTRA-LEC,Regular,TuTh 10:45 - 12:00,B - Vert 4-220,Hagop Sarkissian,4.5
AAS 3346,63660,NETA-LEC,Regular,TBA,TBA,Myung-koo Kang,4.59
AAS 3853,57172,BWFA-LEC,Regular,WeFr 09:05 - 10:20,B - Vert 9-140,Joshua Schlachet,No Rating
AAS 4906,57294,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 9-130,Shigeru Suzuki,3.19
ACC 2101,44028,BT-LEC,Regular,Tu 09:05 - 10:45,B - Vert 5-150,Harry Davis,4.5
ACC 2101,43053,BTA-REC,Regular,Mo 09:30 - 10:20,A - 17 Lex 1402,Ryan Wynne,5.0
ACC 2101,43057,BTB-REC,Regular,Mo 09:30 - 10:20,A - 17 Lex 1403,Liora Schulman,No Rating
ACC 2101,43476,BTC-REC,Regular,Mo 09:30 - 10:20,A - 17 Lex 1405,Sunqian Ren,No Rating
ACC 2101,43477,BTD-REC,Regular,Mo 10:30 - 11:20,A - 17 Lex 1307,Zhiyuan Tu,No Rating
ACC 2101,43479,BTE-REC,Regular,Mo 10:30 - 11:20,A - 17 Lex 1302,Liora Schulman,No Rating
ACC 2101,43481,BTF-REC,Regular,Mo 10:30 - 11:20,A - 17 Lex 1206,Sunqian Ren,No Rating
ACC 2101,43482,BTG-REC,Regular,Mo 11:30 - 12:20,A - 17 Lex 1402,Ryan Wynne,5.0
ACC 2101,43484,BTI-REC,Regular,Mo 11:30 - 12:20,A - 17 Lex 1403,Liora Schulman,No Rating
ACC 2101,43486,BTJ-REC,Regular,Mo 11:30 - 12:20,A - 17 Lex 1405,Sunqian Ren,No Rating
ACC 2101,43488,BTK-REC,Regular,Mo 11:30 - 12:20,A - 17 Lex 1307,Zhiyuan Tu,No Rating
ACC 2101,43490,BTL-REC,Regular,Mo 12:30 - 13:20,A - 17 Lex 1520,Ryan Wynne,5.0
ACC 2101,43492,BTM-REC,Regular,Mo 12:30 - 13:20,A - 17 Lex 1403,Sunqian Ren,No Rating
ACC 2101,43495,BTN-REC,Regular,Mo 12:30 - 13:20,A - 17 Lex 1405,Zhiyuan Tu,No Rating
ACC 2101,43508,BTO-REC,Regular,Mo 12:30 - 13:20,A - 17 Lex 1307,Staff,No Rating
ACC 2101,44031,JW-LEC,Regular,We 12:25 - 14:05,B - Vert 5-150,Harry Davis,4.5
ACC 2101,43538,JWA-REC,Regular,Fr 08:40 - 09:30,B - Vert 6-118,Ying Liang,No Rating
ACC 2101,43586,JWB-REC,Regular,Fr 08:40 - 09:30,B - Vert 6-119,Zhiyuan Tu,No Rating
ACC 2101,43588,JWC-REC,Regular,Fr 08:40 - 09:30,B - Vert 6-140,Sunqian Ren,No Rating
ACC 2101,43589,JWD-REC,Regular,Fr 09:40 - 10:30,B - Vert 6-118,Ying Liang,No Rating
ACC 2101,43592,JWE-REC,Regular,Fr 09:40 - 10:30,B - Vert 6-119,Zhiyuan Tu,No Rating
